id;type;lat;lon;address;title;sculptor;architect;year;material;condition;heritage_status;description;photo_urls;source_links
77;не указан;55,83102;37,656144;завод ВАРЗ-400;Памятник Ленину (завод ВАРЗ-400);;;;;существует;;"Заводское шоссе, 19.
Территория Внуковского авиаремонтного завода.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.656144,55.83102
78;не указан;55,753708;37,619917;завод МоЗАЛ;Памятник Ленину (завод МоЗАЛ);;;;;существует;;"ул.Подъемная 14
Территория московского завода автоматических линий";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.619917,55.753708
79;не указан;55,801243;37,477128;Курчатовский институт;Памятник Ленину (Курчатовский институт);С.Д.Меркуров;;;;существует;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.477128,55.801243
80;не указан;55,647193;37,477238;Лиственничная аллея;Памятник Ленину (Лиственничная аллея);П.П.Яцыно, П.П.Пахомов, В.Я.Шевченко, Л.П.Ларина;;1981;;существует;;"Территория между зданиями ТСХА.
Первоначально (в 1955 году) был установлен на перроне
Ленинградского вокзала, в 1981 году перенесён на нынешнее
место.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.477238,55.647193
81;не указан;55,7588;37,617835;"Лихоборская
набережная, 11";"Памятник Ленину (Лихоборская
набережная, 11)";;;;;существует;;Территория ОХТЗ ВНИИХТ.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.617835,55.7588
82;не указан;55,718303;37,582685;"Лужнецкая набережная
2/4";"Памятник Ленину (Лужнецкая набережная
2/4)";;;;;существует;;"Территория АМНТК ""Союз"".";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.582685,55.718303
83;не указан;55,626775;37,452293;"Москва (Завод ""Знамя
Труда"")";"Памятник Ленину (Москва (Завод ""Знамя
Труда""))";С.Д.Меркуров;;;;существует;;1-ый Боткинский проезд, 7.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.452293,55.626775
84;не указан;55,626775;37,452293;"Москва (Завод ""Знамя
Труда"")";"Памятник Ленину (Москва (Завод ""Знамя
Труда""))";Г.В.Нерода;;;;существует;;1-ый Боткинский проезд, 7.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.452293,55.626775
85;не указан;55,72946;37,61323;"Москва (Калужская
площадь)";"Памятник Ленину (Москва (Калужская
площадь))";"Л.Е.Кербель, В.А.Фёдоров
Г.В.Макаревич, А.Б.Самсонов";;1985;;существует;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.61323,55.72946
86;не указан;55,776162;37,865228;"Москва (территория
Всероссийского
Общества Слепых)";"Памятник Ленину (Москва (территория
Всероссийского
Общества Слепых))";;;;;существует;;Югорский проезд, 2;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.865228,55.776162
87;не указан;55,616692;37,209373;"Москва (ул. Ленинская
Слобода)";"Памятник Ленину (Москва (ул. Ленинская
Слобода))";С.Д.Меркуров;;;;существует;;"улица Ленинская Слобода, 23 стр 2 (перед производственным
корпусом).";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.209373,55.616692
88;фигура;55,678639;37,820144;парк Кузьминки;Памятник Ленину (парк Кузьминки);;;;;существует;;"Территория Всероссийского института экспериментальной
ветеринарии.
Изначально на этом постаменте была установлена колонна-
памятник, посвящённой императору Николаю I.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.820144,55.678639
89;не указан;55,736169;37,608859;парк Музеон;Памятник Ленину (парк Музеон);А.А.Бичуков;;;;существует;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.608859,55.736169
90;не указан;55,736169;37,608859;парк Музеон;Памятник Ленину (парк Музеон);В.Д.Чазов;;;;существует;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.608859,55.736169
91;не указан;55,736169;37,608859;парк Музеон;Памятник Ленину (парк Музеон);А.И.Торопыгин;;;;существует;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.608859,55.736169
92;не указан;55,736169;37,608859;парк Музеон;Памятник Ленину (парк Музеон);И.А.Менделевич;;;;существует;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.608859,55.736169
93;бюст;55,736169;37,608859;парк Музеон;Памятник Ленину (парк Музеон);С.Д.Меркуров;;;;существует;;"До начала 1990-ых годов бюст стоял около здания
Белорусского вокзала.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.608859,55.736169
94;не указан;55,736169;37,608859;парк Музеон;Памятник Ленину (парк Музеон);З.М.Виленский;;;;существует;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.608859,55.736169
95;фигура;55,721004;37,630211;Партийный переулок, 1;Памятник Ленину (Партийный переулок, 1);С.Д.Меркуров;;1947;;существует;;"Территория завода имени Владимира Ильича.
До 1947 года был установлен на площади перед зданием
завода (см. дополнительное фото). После установки нового
памятника перенесён на внутреннюю территорию завода.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.630211,55.721004
96;фигура;55,765445;37,642256;"пер. Огородная Слобода,
6";"Памятник Ленину (пер. Огородная Слобода,
6)";"В.Е.Цигаль
П.И.Скокан";;1970;;существует;;"В июле 2008 года памятник был опрокинут сильным порывом
ветра и разбился на несколько частей. В 2009 году памятник
отреставрирован и установлен на прежнем месте.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.642256,55.765445
97;не указан;55,753708;37,619917;Переделкино;Памятник Ленину (Переделкино);;;;;существует;;Территория Геронтологического Центра.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.619917,55.753708
98;не указан;55,753708;37,619917;Переделкино;Памятник Ленину (Переделкино);;;;;существует;;Территория Геронтологического Центра.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.619917,55.753708
99;не указан;55,735546;37,746807;Перовское шоссе, 10;Памятник Ленину (Перовское шоссе, 10);;;1939;;существует;;Во дворе жилого дома.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.746807,55.735546
100;не указан;55,745945;37,680705;"площадь Рогожской
заставы";"Памятник Ленину (площадь Рогожской
заставы)";Г.А.Иокубонис, В.А.Чеканаускас, Б.Белозерский.;;1967;;существует;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.680705,55.745945
101;не указан;55,620028;37,448926;Посёлок Мосрентген;Памятник Ленину (Посёлок Мосрентген);;;;;существует;;посёлок завода Мосрентген;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.448926,55.620028
102;не указан;55,753708;37,619917;посёлок Радиоконтроль;Памятник Ленину (посёлок Радиоконтроль);А.Л.Котихин;;;;существует;;Район Южное Бутово.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.619917,55.753708
103;не указан;55,656731;37,399632;"проспект 60-летия
Октября, 25";"Памятник Ленину (проспект 60-летия
Октября, 25)";Х.Б.Геворкян;;1959;;существует;;Во дворе жилого дома.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.399632,55.656731
104;не указан;55,828426;37,652025;проспект Мира, 177;Памятник Ленину (проспект Мира, 177);Н.И.Абакумцев;;1960;;существует;;Во дворе жилого дома.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.652025,55.828426
105;не указан;55,72688;37,535123;РГУ имени Косыгина;Памятник Ленину (РГУ имени Косыгина);;;;;существует;;Территория РГУ имени А.Н. Косыгина (ул. Садовническая, 33);;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.535123,55.72688
106;не указан;55,782117;37,720821;Семёновская площадь, 7;Памятник Ленину (Семёновская площадь, 7);;;;;существует;;Территория филиала №24 ГУ МРО ФСС РФ.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.720821,55.782117
107;не указан;55,799199;37,576971;"стадион ""Автомобилист""";"Памятник Ленину (стадион ""Автомобилист"")";Н.И.Шильников;;;;существует;;Район Косино-Ухтомский.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.576971,55.799199
108;фигура;55,715752;37,553939;"стадион ""Лужники""";"Памятник Ленину (стадион ""Лужники"")";М.Г.Манизер, И.Е.Рожин;;1960;;существует;;"Изготовлен в 1958 году для центрального зала советского
павильона на Всемирной выставке в Брюсселе. После
закрытия выставки передан Москве. Сейчас памятник
установлен напротив входа в стадион ""Лужники"".";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.553939,55.715752
109;не указан;55,762638;37,612941;"стадион ""Связист""";"Памятник Ленину (стадион ""Связист"")";С.Д.Меркуров;;;;существует;;Улица Большая Тихоновская, 14.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.612941,55.762638
110;не указан;55,853505;37,673523;"станция
""Лосиноостровская""";"Памятник Ленину (станция
""Лосиноостровская"")";;;;;существует;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.673523,55.853505
111;фигура;55,736169;37,608859;"станция Москва-
Октябрьская";"Памятник Ленину (станция Москва-
Октябрьская)";И.А.Менделевич;;1925;;существует;;"Весной 2017 года памятник и постамент были убраны на
реставрацию.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.608859,55.736169
112;не указан;55,745245;37,688027;станция Москва-Товарная;Памятник Ленину (станция Москва-Товарная);В.В.Козлов;;;;существует;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.688027,55.745245
113;не указан;55,825493;37,501408;"Старопетровский проезд,
7а";"Памятник Ленину (Старопетровский проезд,
7а)";;;;;существует;;Территория офисного центра.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.501408,55.825493
114;не указан;55,762638;37,612941;Тверская площадь;Памятник Ленину (Тверская площадь);"С.Д.Меркуров
И.А.Француз";;1938;;существует;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.612941,55.762638
115;не указан;55,736066;37,757033;"улица 1-ая
Карачаровская, 10";"Памятник Ленину (улица 1-ая
Карачаровская, 10)";;;1972;;существует;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.757033,55.736066
116;не указан;55,653493;37,702338;"улица 1-ая Курьяновская,
35";"Памятник Ленину (улица 1-ая Курьяновская,
35)";;;1957;;существует;;В сквере у здания ДК района Курьяново.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.702338,55.653493
117;не указан;55,759501;37,558928;улица 1905 года;Памятник Ленину (улица 1905 года);"Б.И.Дюжев
Ю.И.Гольцев";;1963;;существует;;"В сквере у станции метро ""Улица 1905 года"".";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.558928,55.759501
118;не указан;55,806654;37,642964;"улица 3-ья Мытищинская,
16";"Памятник Ленину (улица 3-ья Мытищинская,
16)";;;;;существует;;"Территория завода ""Квант"".";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.642964,55.806654
119;не указан;55,790943;37,655771;улица 3-ья Рыбинская, 17;Памятник Ленину (улица 3-ья Рыбинская, 17);;;;;существует;;"Территория клуба обувной фабрики ""Буревестник"".";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.655771,55.790943
120;не указан;55,648495;37,413355;улица 50 лет Октября, 3б;Памятник Ленину (улица 50 лет Октября, 3б);;;;;существует;;Территория детского сада при школе №1000.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.413355,55.648495
121;не указан;55,759117;37,709937;улица Авиамоторная, 2;Памятник Ленину (улица Авиамоторная, 2);В.В.Козлов;;;;существует;;"Территория Центрального института авиационного
машиностроения имени Баранова.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.709937,55.759117
122;не указан;55,74621;37,720187;улица Авиамоторная, 28;Памятник Ленину (улица Авиамоторная, 28);;;;;существует;;Во дворе жилого дома.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.720187,55.74621
123;не указан;55,705993;37,654088;улица Автозаводская, 10;Памятник Ленину (улица Автозаводская, 10);;;;;существует;;"У здания префектуры Южного административного округа
Москвы.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.654088,55.705993
124;не указан;55,698668;37,793268;"улица Академика
Скрябина, 23";"Памятник Ленину (улица Академика
Скрябина, 23)";С.Л.Савицкий;;1968;;существует;;Территория ветеринарной академии.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.793268,55.698668
125;не указан;55,76843;37,664402;"улица Александра
Лукьянова, 7";"Памятник Ленину (улица Александра
Лукьянова, 7)";;;;;существует;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.664402,55.76843
126;не указан;55,807743;37,691989;"улица Большая Оленья,
15А";"Памятник Ленину (улица Большая Оленья,
15А)";;;;;существует;;"Территория ОАО ""Воентелеком"".";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.691989,55.807743
127;не указан;55,778128;37,697486;"улица Большая Почтовая,
22";"Памятник Ленину (улица Большая Почтовая,
22)";;;;;существует;;Территория предприятия.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.697486,55.778128
128;не указан;55,7831;37,702759;"улица Большая
Семёновская, 11";"Памятник Ленину (улица Большая
Семёновская, 11)";;;;;существует;;Территория офисного центра.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.702759,55.7831
